nama,latitude,longitude,place_id
"SMAN 48, Jalan Pinang Ranti II, RW.1, Pinang Ranti, East Jakarta City, Jakarta, Indonesia",-6.2873588,106.8828213,ChIJ8R_p95nyaS4R2YOp1Kqqv2c
"Lubang Buaya, East Jakarta City, Jakarta, Indonesia",-6.2939072,106.9033981,ChIJa80elKnyaS4RlvpWUXD5TQI
"Taman Mini Indonesia Indah, East Jakarta City, Jakarta, Indonesia",-6.302445899999999,106.8951559,ChIJYaJ20FDtaS4RDNry7LknMQc
